date,casual,registered
04-09-11,2521,2419
05-09-11,1236,2115
06-09-11,204,2506
07-09-11,118,1878
08-09-11,153,1689
09-09-11,417,3127
10-09-11,1750,3595
11-09-11,1633,3413
12-09-11,690,4023
13-09-11,701,4062
14-09-11,647,4138
15-09-11,428,3231
16-09-11,742,4018
17-09-11,1434,3077
18-09-11,1353,2921
19-09-11,691,3848
20-09-11,438,3203
21-09-11,539,3813
22-09-11,555,4240
23-09-11,258,2137
24-09-11,1776,3647
25-09-11,1544,3466
26-09-11,684,3946
27-09-11,477,3643
28-09-11,480,3427
29-09-11,653,4186
30-09-11,830,4372
01-10-11,480,1949
02-10-11,616,2302
03-10-11,330,3240
04-10-11,486,3970
05-10-11,559,4267
06-10-11,639,4126
07-10-11,949,4036
08-10-11,2235,3174
09-10-11,2397,3114
10-10-11,1514,3603
11-10-11,667,3896
12-10-11,217,2199
13-10-11,290,2623
14-10-11,529,3115
15-10-11,1899,3318
16-10-11,1748,3293
17-10-11,713,3857
18-10-11,637,4111
19-10-11,254,2170
20-10-11,471,3724
21-10-11,676,3628
22-10-11,1499,2809
23-10-11,1619,2762
24-10-11,699,3488
25-10-11,695,3992
26-10-11,404,3490
27-10-11,240,2419
28-10-11,456,3291
29-10-11,57,570
30-10-11,885,2446
31-10-11,362,3307
01-11-11,410,3658
02-11-11,370,3816
03-11-11,318,3656
04-11-11,470,3576
05-11-11,1156,2770
06-11-11,952,2697
07-11-11,373,3662
08-11-11,376,3829
09-11-11,305,3804
10-11-11,190,2743
11-11-11,440,2928
12-11-11,1275,2792
13-11-11,1004,2713
14-11-11,595,3891
15-11-11,449,3746
16-11-11,145,1672
17-11-11,139,2914
18-11-11,245,3147
19-11-11,943,2720
20-11-11,787,2733
21-11-11,220,2545
22-11-11,69,1538
23-11-11,112,2454
24-11-11,560,935
25-11-11,1095,1697
26-11-11,1249,1819
27-11-11,810,2261
28-11-11,253,3614
29-11-11,96,2818
30-11-11,188,3425
01-12-11,182,3545
02-12-11,268,3672
03-12-11,706,2908
04-12-11,634,2851
05-12-11,233,3578
06-12-11,126,2468
07-12-11,50,655
08-12-11,150,3172
09-12-11,261,3359
10-12-11,502,2688
11-12-11,377,2366
12-12-11,143,3167
13-12-11,155,3368
14-12-11,178,3562
15-12-11,181,3528
16-12-11,178,3399
17-12-11,275,2464
18-12-11,220,2211
19-12-11,260,3143
20-12-11,216,3534
21-12-11,107,2553
22-12-11,227,2841
23-12-11,163,2046
24-12-11,155,856
25-12-11,303,451
26-12-11,430,887
27-12-11,103,1059
28-12-11,255,2047
29-12-11,254,2169
30-12-11,491,2508
31-12-11,665,1820
